State,District,Deposit_ID,Latitude,Longitude,Reserves_tonnes,Annual_Production_tonnes,Grade_pct,Host_Rock,Formation,Avg_Temperature_C,Annual_Precip_mm,Rainy_Days,Road_Accessibility,Distance_to_Port_km,Reserve_to_Production_ratio,Production_Gap_tonnes,Topo_Slope_deg,Soil_Type,Year,Year_Index,Synthetic
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.9734,78.6569,,31233.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3,False
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.7515,75.7139,,462821.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2022-23,3,False
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.7515,75.7139,,288283.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2022-23,3,False
Odisha,Odisha,Odisha_Kendujhar,20.9517,85.0985,,534473.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3,False
Odisha,Odisha,Odisha_Raygada,20.9517,85.0985,,76.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3,False
Odisha,Odisha,Odisha_Sundargarh,20.9517,85.0985,,109669.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3,False
Rajasthan,Rajasthan,Rajasthan_Banswara,27.0238,74.2179,,6437.0,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,28.8,540.0,28.0,Moderate,980.0,,,17.0,Sandy desert and brown loam soil,2022-23,3,False
Karnataka,Karnataka,Karnataka_Tumakuru,15.3173,75.7139,,8000.0,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.8,1160.0,62.0,Good,410.0,,,16.0,Red sandy loam and lateritic soil,2023-24,4,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Madhya_Pradesh,22.9734,78.6569,,1033424.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.9734,78.6569,,560.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Balaghat,22.9734,78.6569,,910303.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.9734,78.6569,,41705.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jabalpur,22.9734,78.6569,,47005.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.9734,78.6569,,33849.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2023-24,4,False
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Katni,22.9734,78.6569,,2.0,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.4,1165.0,57.0,Good,790.0,,,14.0,Black cotton and red loamy soil,2022-23,3,False
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.7515,75.7139,,745002.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2023-24,4,False
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.7515,75.7139,,287990.0,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.1,1225.0,68.0,Good,620.0,,,12.0,Deep black and red lateritic soil,2023-24,4,False
Odisha,Odisha,Odisha_Kendujhar,20.9517,85.0985,,564839.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2023-24,4,False
Odisha,Odisha,Odisha_Rayagada,20.9517,85.0985,,122.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2022-23,3,False
Odisha,Odisha,Odisha_Sundargarh,20.9517,85.0985,,85895.0,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.6,1450.0,70.0,Moderate,280.0,,,20.0,Red lateritic and alluvial soil,2023-24,4,False
Rajasthan,Rajasthan,Rajasthan_Banswara,27.0238,74.2179,,4968.0,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,28.8,540.0,28.0,Moderate,980.0,,,17.0,Sandy desert and brown loam soil,2023-24,4,False
Karnataka,Karnataka,Karnataka_Chitradurga,15.326075300054553,75.69746291076665,,3276.5203703070974,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.90003914886089,1166.4956595110816,64.61200348341364,Good,410.0,,,15.881361673890117,Red sandy loam and lateritic soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.918673632030174,78.72293711728925,,38853.67684759401,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.464132053027665,1182.4825437782724,54.551061936559,Good,790.0,,,15.535755991995991,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Balaghat,22.93761091924177,78.68263307178755,,882015.0340713375,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.91150550228477,1157.6801040784019,54.785908635913025,Good,790.0,,,13.616812678864012,Black cotton and red loamy soil,2023-24,4,True
Odisha,Odisha,Odisha_Kendujhar,20.955323396276068,85.12425755173108,,453623.44909232226,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.71815109207963,1449.7400652639562,72.81496372262744,Moderate,280.0,,,19.83655710147549,Red lateritic and alluvial soil,2022-23,3,True
Odisha,Odisha,Odisha_Kendujhar,20.938335062371966,85.13513610169424,,480664.6325346843,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.173415428851733,1447.5275411020464,68.2436952661425,Moderate,280.0,,,19.15676972970713,Red lateritic and alluvial soil,2022-23,3,True
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.773024617480157,75.7673959242977,,284452.2220678631,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,26.985314416973313,1226.3133252449857,70.00551565060921,Good,620.0,,,11.515830566666422,Deep black and red lateritic soil,2023-24,4,True
Karnataka,Karnataka,Karnataka_Chitradurga,15.273924477110665,75.71751959126512,,3054.25947697358,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.88487387694493,1131.7447299661694,62.353146716907425,Good,410.0,,,15.7761411831195,Red sandy loam and lateritic soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.91486231992652,78.63327171944145,,42771.390207638055,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.101364827304412,1267.6500038804456,56.42523327690165,Good,790.0,,,15.87684461128167,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.966893363178205,78.61440342352562,,734.2334395249965,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.171048745976268,1214.1686813917177,52.70542194052269,Good,790.0,,,13.270916162256391,Black cotton and red loamy soil,2022-23,3,True
Karnataka,Karnataka,Karnataka_Chitradurga,15.402469884481132,75.66240309674903,,2747.0731985738535,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.18479506302518,1124.399452406396,59.06590950921802,Good,410.0,,,15.905737445747443,Red sandy loam and lateritic soil,2022-23,3,True
Rajasthan,Rajasthan,Rajasthan_Banswara,27.03746222203762,74.28704790577622,,5948.350931635619,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,28.389951679911132,574.7176656852728,27.263502086423937,Moderate,980.0,,,19.905067169240407,Sandy desert and brown loam soil,2022-23,3,True
Rajasthan,Rajasthan,Rajasthan_Banswara,27.01844708141936,74.1629041676652,,4874.236345552406,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,28.952168126063317,535.3642487116941,27.247687857539802,Moderate,980.0,,,17.777337576061743,Sandy desert and brown loam soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jabalpur,23.013908632712795,78.66311717310673,,48346.531969364914,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.20563547341334,1154.1380500948849,57.94307704509028,Good,790.0,,,14.232169889626256,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.96950853606346,78.74062673235721,,38389.26445502014,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.14745468826,1167.1674092974874,57.63298852334662,Good,790.0,,,14.000084393091415,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jabalpur,22.983909969005886,78.67610573613565,,40881.88682630318,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.0106559848058,1180.7328931804914,59.38228590617773,Good,790.0,,,13.236942790305232,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Katni,22.983948688174262,78.65899867193424,,1.9537947080596745,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.01134926045493,1202.816304085535,56.0569503851001,Good,790.0,,,14.454420338214362,Black cotton and red loamy soil,2022-23,3,True
Odisha,Odisha,Odisha_Sundargarh,20.849033662362746,85.08902598941961,,111228.62104268932,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.653396879235867,1444.7479703956524,72.94298394598631,Moderate,280.0,,,19.748022621793115,Red lateritic and alluvial soil,2022-23,3,True
Karnataka,Karnataka,Karnataka_Davangere,15.386394008566567,75.65254554380336,,40461.72972760687,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.185147376132498,1172.017355981296,62.65599096742822,Good,410.0,,,15.62808541867871,Red sandy loam and lateritic soil,2022-23,3,True
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.803501783787958,75.7372062096795,,330798.91583592235,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,26.73148552125362,1210.914481058606,67.33108765528824,Good,620.0,,,11.938675654171153,Deep black and red lateritic soil,2023-24,4,True
Odisha,Odisha,Odisha_Kendujhar,20.98481952707188,85.08663716185862,,537325.942665035,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,27.21037708415873,1509.753653365618,70.8779863174766,Moderate,280.0,,,20.439086678929577,Red lateritic and alluvial soil,2022-23,3,True
Odisha,Odisha,Odisha_Sundargarh,20.944073957699793,85.14534988373869,,116458.64804189726,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.1875937319098,1414.605740967511,71.56470068483532,Moderate,280.0,,,20.989583934594854,Red lateritic and alluvial soil,2022-23,3,True
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.704619712296207,75.69316880630535,,522298.1769057819,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,26.54978591052137,1303.0602040091067,67.8660936542036,Good,620.0,,,12.730774691138645,Deep black and red lateritic soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Madhya_Pradesh,22.924737594024755,78.63005438890413,,877506.1174508904,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.045198921745857,1190.9954411393535,57.06556418575252,Good,790.0,,,13.301069571421253,Black cotton and red loamy soil,2022-23,3,True
Odisha,Odisha,Odisha_Rayagada,20.954581342929302,85.1150556114149,,138.83939303057898,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,25.798048671990667,1508.632085832415,70.60873345806051,Moderate,280.0,,,20.60876147222444,Red lateritic and alluvial soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Katni,23.03243796192214,78.67163426450801,,2.1401456756004684,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.606817212977674,1080.8714592632866,53.83681120109212,Good,790.0,,,13.408896574808894,Black cotton and red loamy soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.98277603570795,78.66771372957126,,522.6275989543785,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.773965044596164,1141.719772201449,57.465756040274336,Good,790.0,,,14.81376368996621,Black cotton and red loamy soil,2023-24,4,True
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.709158556720865,75.70889963878722,,324556.3199862053,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.234187852523725,1218.6747078346948,69.99964849382059,Good,620.0,,,11.847477467547641,Deep black and red lateritic soil,2022-23,3,True
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.751957042222426,75.76705842361747,,797857.8282941541,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.170807167140918,1193.1186546896613,69.68877038097064,Good,620.0,,,11.17774998270968,Deep black and red lateritic soil,2023-24,4,True
Rajasthan,Rajasthan,Rajasthan_Banswara,26.94365910831734,74.28207017446069,,6205.566045528259,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,29.61467858512113,555.9103992642222,27.589676622267913,Moderate,980.0,,,17.554116501324092,Sandy desert and brown loam soil,2022-23,3,True
Odisha,Odisha,Odisha_Kendujhar,20.887648882515244,85.06673454839898,,553605.3914633384,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.039209160629376,1455.474932550409,67.49670557178771,Moderate,280.0,,,21.309550684860525,Red lateritic and alluvial soil,2022-23,3,True
Odisha,Odisha,Odisha_Kendujhar,20.953874143415614,85.07962895865447,,554480.7423478952,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.105531940637672,1476.6025330227483,65.37979312673471,Moderate,280.0,,,20.276274179328553,Red lateritic and alluvial soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Balaghat,22.994602588224062,78.6287130694852,,694997.5491635976,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.66604657988155,1193.6221591091723,57.458422748230134,Good,790.0,,,14.138241432058681,Black cotton and red loamy soil,2022-23,3,True
Karnataka,Karnataka,Karnataka_Chitradurga,15.306666448323384,75.70919831330687,,3204.7703147140614,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.6621905897214,1167.9891095242724,63.042334511464226,Good,410.0,,,16.82052847541742,Red sandy loam and lateritic soil,2022-23,3,True
Karnataka,Karnataka,Karnataka_Tumakuru,15.290169422393792,75.7438773559891,,7819.7361718204875,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.281235110895015,1079.0817489352012,57.33276776030339,Good,410.0,,,14.703527671925238,Red sandy loam and lateritic soil,2023-24,4,True
Odisha,Odisha,Odisha_Kendujhar,21.005843435582776,85.10218506633737,,528239.0232820321,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,27.064690146293692,1460.0378466585491,69.86172413054773,Moderate,280.0,,,21.08921749671079,Red lateritic and alluvial soil,2023-24,4,True
Karnataka,Karnataka,Karnataka_Ballari,15.349443400775144,75.78273079324663,,263288.4275828784,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.48915315119322,1135.8673457007314,61.28396662385114,Good,410.0,,,14.519463487434983,Red sandy loam and lateritic soil,2022-23,3,True
Maharashtra,Maharashtra,Maharashtra_Nagpur,19.678263766966097,75.75103187966273,,274383.20845060656,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.266143980962124,1241.842477701644,67.73782669862454,Good,620.0,,,10.959456060842466,Deep black and red lateritic soil,2023-24,4,True
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.743930226362544,75.72704648009129,,766887.911054255,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,26.87100085315936,1202.109027279734,68.85578088138983,Good,620.0,,,10.93024758871031,Deep black and red lateritic soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.960140473116113,78.70148369778309,,47139.84055308344,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,24.883099764103992,1218.8499790041608,59.13444483314397,Good,790.0,,,13.657213849135621,Black cotton and red loamy soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.97617524540531,78.66330762373268,,610.352095463746,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,26.082854396044205,1159.6528672059585,61.153961058107505,Good,790.0,,,14.348775894046295,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Madhya_Pradesh,22.940065247762025,78.59331730026763,,725081.8131167265,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.39094800321615,1130.5181713889115,57.62781642291511,Good,790.0,,,14.333070372618256,Black cotton and red loamy soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,23.017639734796294,78.61841635534633,,34803.78457492974,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.297382944672933,1119.4386627928486,60.87446232485903,Good,790.0,,,13.541324715060666,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.95982966064464,78.69945406130937,,38063.886342648424,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.464863977295384,1148.4013849128155,58.23834223395079,Good,790.0,,,13.715636161959905,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.97706080712693,78.68013108381318,,31091.441009460643,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.478077909918845,1165.2584752678215,59.86642901321235,Good,790.0,,,16.597673726595833,Black cotton and red loamy soil,2022-23,3,True
Karnataka,Karnataka,Karnataka_Chitradurga,15.343923409452536,75.75731148017783,,3088.2401945471615,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.950605475635143,1153.0814522047333,60.29692562162846,Good,410.0,,,15.22051760327458,Red sandy loam and lateritic soil,2022-23,3,True
Rajasthan,Rajasthan,Rajasthan_Banswara,26.950543756631397,74.20447570527526,,4236.563244489865,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,28.691964430558755,534.5898989357975,29.871094250930298,Moderate,980.0,,,17.453965579308697,Sandy desert and brown loam soil,2023-24,4,True
Odisha,Odisha,Odisha_Kendujhar,20.891599861758362,84.97991884648634,,511732.26792082866,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.91331474369009,1374.1256628659692,68.56103953343042,Moderate,280.0,,,21.36386222981391,Red lateritic and alluvial soil,2022-23,3,True
Odisha,Odisha,Odisha_Kendujhar,20.88926166588022,85.08660706549209,,569352.0345025669,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.40414969988268,1572.8360618715558,70.93016041900061,Moderate,280.0,,,20.43488427146365,Red lateritic and alluvial soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Chhindwara,22.94586510871077,78.69281261633641,,47509.7988575604,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.520625829182617,1161.4892459219968,58.336652036215995,Good,790.0,,,14.79080612169008,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Katni,23.029552855682663,78.6391985715243,,2.2468985130729715,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.86752451771208,1125.4421533362136,56.61731202660988,Good,790.0,,,13.112304344285441,Black cotton and red loamy soil,2022-23,3,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Jhabua,22.935755116163005,78.63895743167886,,35096.31618170788,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.947651307584465,1170.3613341802422,56.27645904511166,Good,790.0,,,14.258228823322694,Black cotton and red loamy soil,2023-24,4,True
Madhya Pradesh,Madhya Pradesh,Madhya_Pradesh_Alirajpur,22.877629587803984,78.62543736899583,,669.3216371690902,,"Dolomitic limestone, quartzite and metasediments",Vindhyan / Archaean basement belt,25.21143003883379,1101.1561738318394,59.29562532146713,Good,790.0,,,14.637470902651122,Black cotton and red loamy soil,2022-23,3,True
Maharashtra,Maharashtra,Maharashtra_Bhandara,19.745132605144796,75.72203552962479,,426945.97667840606,,"Basaltic laterite, quartzite and metasediments",Deccan Traps / Precambrian gneissic suite,27.037270681092586,1189.5754116296455,67.49324486210396,Good,620.0,,,12.247665901108943,Deep black and red lateritic soil,2022-23,3,True
Odisha,Odisha,Odisha_Raygada,20.963556720032344,85.17990293210924,,75.47230793093345,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.73476327817964,1485.872619275627,71.11306688550252,Moderate,280.0,,,20.662665970385483,Red lateritic and alluvial soil,2022-23,3,True
Odisha,Odisha,Odisha_Sundargarh,20.91614810747076,85.09567278473392,,112641.5157319694,,"Khondalite, quartzite and iron formation host rocks",Eastern Ghats / Iron Ore Group,26.238708065297757,1434.4155266695202,67.51105642479784,Moderate,280.0,,,19.246472419642622,Red lateritic and alluvial soil,2022-23,3,True
Karnataka,Karnataka,Karnataka_Ballari,15.310914067703118,75.68778335421341,,307261.40549621853,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,27.115064597406988,1162.0763675772178,63.478825344601894,Good,410.0,,,15.234464722570287,Red sandy loam and lateritic soil,2022-23,3,True
Rajasthan,Rajasthan,Rajasthan_Banswara,26.98781220854049,74.2254937357135,,5729.778044286898,,"Dolomite, limestone and metamorphic carbonate rocks",Aravalli fold belt / Delhi Supergroup,28.77620691040546,543.5527008034874,28.52407162414876,Moderate,980.0,,,15.551872740584953,Sandy desert and brown loam soil,2022-23,3,True
Karnataka,Karnataka,Karnataka_Tumakuru,15.220903121368005,75.66764609358938,,9670.039976473496,,Serpentinized ultramafic rocks and Dharwar schists,Dharwar Supergroup / peninsular metamorphic belt,26.711618932993964,1214.2491556604941,62.726908675678146,Good,410.0,,,17.24794998505943,Red sandy loam and lateritic soil,2022-23,3,True
